,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,120,135,140,160,165,180
6,A,A,A,B,B,B,C,C,C,D,D,D,D,D,D,E,E,E,E,E,E,F,F,G,G,G,G
8,B,B,B,C,C,C,D,D,D,E,E,E,F,F,F,F,F,F,G,G,G,H,H,I,I,I,NA
10,B,B,B,C,C,C,D,D,D,F,F,F,G,G,G,H,H,H,H,H,H,I,J,K,K,K,NA
12,B,B,B,C,C,D,D,E,E,F,F,G,G,H,H,H,I,I,J,J,J,K,L,L,M,NA,NA
15,A,B,C,C,D,E,E,F,G,G,H,H,I,I,J,J,K,K,L,L,L,M,NA,NA,NA,NA,NA
18,B,B,C,D,E,F,F,G,H,H,I,J,J,K,K,L,L,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,B,B,D,D,E,F,G,H,I,I,J,K,K,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,C,C,D,E,F,G,H,I,I,J,K,K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,B,C,D,E,F,H,I,J,J,K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,B,D,E,F,G,H,I,J,K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,B,D,E,F,H,I,J,K,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,B,D,E,G,H,I,K,K,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,C,D,F,H,I,J,K,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,C,E,F,H,J,K,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,C,E,G,H,J,K,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,C,E,G,I,J,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,C,F,H,I,K,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,D,F,H,J,K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,D,F,H,J,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,D,F,I,K,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,D,G,I,K,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,D,G,J,K,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,D,G,J,L,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Z,Z,Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Z,Z,Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
