,12,15,18,20,22,25,28,30,32,35,38,40,42,45,48,50,52,55,58,60
0.82,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
0.84,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1
0.86,11,9,7,7,6,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2
0.89,17,13,11,10,9,8,7,7,6,6,5,5,5,4,4,4,4,4,3,3
0.92,23,18,15,13,12,11,10,9,8,8,7,7,6,6,5,5,5,5,5,4
0.95,29,23,19,17,15,13,12,11,10,10,9,8,8,7,7,7,6,6,6,5
0.99,38,30,24,22,20,17,15,14,13,12,11,11,10,9,9,8,8,8,7,7
1.03,47,37,30,27,24,21,19,17,16,15,14,13,12,11,11,10,10,9,9,9
1.07,57,44,36,32,29,25,22,21,19,18,16,15,15,13,13,12,12,11,10,10
1.11,68,52,42,37,34,29,26,24,22,20,19,18,17,16,15,14,13,13,12,12
1.16,81,62,50,44,40,34,30,28,26,24,22,21,20,18,17,16,16,15,14,13
1.20,93,70,56,50,45,39,34,32,29,27,24,23,22,20,19,18,18,17,16,15
1.24,106,79,63,56,50,43,38,35,33,30,27,26,24,23,21,20,19,18,17,17
1.29,124,91,72,63,56,49,43,40,37,33,30,29,27,25,24,23,22,20,19,19
1.33,139,101,79,70,62,53,47,43,40,36,33,31,30,28,26,25,24,22,21,20
1.38,160,114,89,78,69,59,52,48,44,40,37,35,33,30,28,27,26,24,23,22
1.42,180,126,97,85,75,64,56,52,48,43,39,37,35,33,30,29,28,16,25,24
1.45,196,135,104,90,80,68,59,55,51,46,42,39,37,34,32,31,29,28,26,25
